ville;abri;ID DSP;ID Autolib;adresse;Code Postal;prises Autolib;prises Tiers T3;type;XY
Paris;;75114-16;Paris/Alésia/33;33 rue d'Alésia;75014;4.0;2;Voirie;48.827653, 2.332932
Paris;;75114-22;Paris/René Coty/11;11 avenue René Coty;75014;4.0;2;Voirie;48.83086, 2.333917
Paris;;75114-26;Paris/Nicolas Taunay/7;7 rue Nicolas Taunay;75014;4.0;1;Voirie;48.823798, 2.319513
Paris;;75114-32;Paris/Port-Royal/97;97 boulevard de Port-Royal;75014;4.0;2;Voirie;48.838146, 2.341825
Paris;;75115-11;Paris/Cronstadt/2;2 rue de Cronstadt;75015;4.0;;Voirie;48.835237, 2.30252
Paris;;75115-12;Paris/Émile Zola/65;65 Avenue Émile Zola;75015;4.0;;Voirie;48.84667, 2.284809
Paris;;75115-16;Paris/Vaugirard/20;20 Boulevard de Vaugirard;75015;4.0;2;Voirie;48.841728, 2.318568
Paris;;75115-27;Paris/Olier/15;15 rue Olier;75015;4.0;2;Voirie;48.835197, 2.2914
Paris;;75115-30;Paris/Croix Nivert/192;192 rue de la Croix Nivert;75015;4.0;1;Voirie;48.838835, 2.289504
Paris;;75115-32;Paris/Convention/171;171 Rue de la Convention;75015;4.0;;Voirie;48.838161, 2.294496
Paris;;75115-38;Paris/Mademoiselle/67;67 rue Mademoiselle;75015;4.0;1;Voirie;48.843527, 2.299425
Paris;;75115-42;Paris/Maine/4;4 Avenue du Maine;75015;4.0;2;Voirie;48.844846, 2.319911
Paris;;75115-44;Paris/Suffren/161;161 Avenue de Suffren;75015;4.0;2;Voirie;48.845989, 2.309537
Paris;;75115-46;Paris/Paul Barruel/44;44 rue Paul Barruel;75015;4.0;2;Voirie;48.837362, 2.305826
Paris;1.0;75116-01;Paris/Grande Armée/13;13 avenue de la Grande Armée;75016;4.0;1;Voirie;48.874598, 2.291332
Paris;;75116-02;Paris/Iéna/24;24 Avenue d'Iéna;75016;4.0;;Voirie;48.865351, 2.294546
Paris;;75116-11;Paris/Pierre 1er de Serbie/33;33 Avenue Pierre 1er de Serbie;75016;4.0;1;Voirie;48.867383, 2.298862
Paris;;75116-13;Paris/Georges Mandel/42;42 bis avenue Georges Mandel;75016;4.0;2;Voirie;48.863899, 2.280413
Paris;;75116-17;Paris/Chernoviz/12;12 rue Chernoviz;75016;4.0;;Voirie;48.857666, 2.281563
Paris;;75116-21;Paris/Delessert/23;23 Boulevard Delessert;75016;4.0;2;Voirie;48.858498, 2.28514
Paris;1.0;75116-27;Paris/Rémusat/8;8 rue Rémusat;75016;4.0;1;Voirie;48.84798, 2.272084
Paris;;75116-28;Paris/Molitor/16;16 Rue Molitor;75016;4.0;2;Voirie;48.84528, 2.264024
Paris;;75116-32;Paris/Murat/98;98 boulevard Murat;75016;4.0;2;Voirie;48.840253, 2.259957
Paris;;75116-34;Paris/Marceau/1;1 Avenue Marceau;75016;4.0;1;Voirie;48.865414, 2.299571
Paris;;75116-41;Paris/Raphaël/20;20 avenue Raphaël;75016;4.0;1;Voirie;48.859301, 2.267741
Paris;;75117-11;Paris/Navier/47;47 rue Navier;75017;4.0;2;Voirie;48.895776, 2.324074
Paris;;75117-12;Paris/Batignolles/27;27 Rue des Batignolles;75017;4.0;1;Voirie;48.884611, 2.321274
Paris;1.0;75117-18;Paris/Pereire/50;50 Boulevard Pereire;75017;4.0;1;Voirie;48.887639, 2.304991
Paris;;75117-24;Paris/Courcelles/210;210 rue de Courcelles;75017;4.0;2;Voirie;48.886705, 2.295607
Paris;;75117-37;Paris/Legendre/22;22 bis rue Legendre;75017;4.0;;Voirie;48.88388, 2.313697
Paris;;75104-PF;Paris/Notre-Dame/Parking;1 place du parvis Notre-Dame;75004;6.0;;Parking;48.854342, 2.347729
Paris;;75107-PB;Paris/Sèvres Babylone/Parking;1 rue Velpeau;75007;6.0;;Parking;48.851425, 2.325024
Paris;;75114-PA;Paris/Montparnasse Gaîté/Parking;15 rue du Commandant René Mouchotte;75014;6.0;;Parking;48.838734, 2.320556
Paris;;75115-PD;Paris/Pasteur Montparnasse/Parking;81 rue Falguière;75015;6.0;;Parking;48.839848, 2.312476
Paris;;75115-PM;Paris/Cambronne/Parking;26 villa Croix-Nivert;75015;6.0;;Parking;48.845331, 2.300746
Levallois-Perret;;92044-PB;Levallois-Perret/Wilson-Planchette/Parking;80 bis rue du président Wilson;92300;6.0;;Parking;48.894233, 2.288499
Levallois-Perret;;92044-PC;Levallois-Perret/Pompidou/Parking;1 Place Georges Pompidou;92300;6.0;;Parking;48.898954, 2.28177
Levallois-Perret;;92044-PD;Levallois-Perret/André Citroën/Parking;33 rue Ernest Cognacq;92300;6.0;;Parking;48.897044, 2.276052
Neuilly-sur-Seine;;92051-PB;Neuilly-sur-Seine/Parmentier/parking;57 avenue du Roule;92200;6.0;;Parking;48.882577, 2.277135
Paris;;75101-03;Paris/Jean-Jacques Rousseau/62;62 rue Jean-Jacques Rousseau;75001;4.0;;Voirie;48.864084, 2.343733
Paris;;75101-05;Paris/Pyramides/12;12 Rue des Pyramides;75001;4.0;1;Voirie;48.864948, 2.333149
Paris;;75102-04;Paris/Quatre septembre/10;10 rue du Quatre septembre;75002;4.0;1;Voirie;48.86934, 2.338372
Paris;;75102-10;Paris/Étienne Marcel/36;36 Rue Étienne Marcel;75002;4.0;1;Voirie;48.865015, 2.344644
Paris;;75102-16;Paris/Louvre/31;31 rue du Louvre;75002;4.0;;Voirie;48.866101, 2.343353
Paris;;75103-02;Paris/Saint Martin/243;243 rue Saint Martin;75003;4.0;2;Voirie;48.865724, 2.353238
Paris;;75104-10;Paris/Béthune/36;36 quai de Béthune;75004;4.0;1;Voirie;48.851089, 2.35625
Paris;;75105-10;Paris/Écoles/19;19 rue des Écoles;75005;4.0;1;Voirie;48.847981, 2.350688
Paris;;75105-12;Paris/Monge/58;58 Rue Monge;75005;4.0;1;Voirie;48.844369, 2.352236
Paris;;75105-13;Paris/Lacépède/38;38 Rue Lacépède;75005;4.0;;Voirie;48.844202, 2.35078
Paris;;75105-16;Paris/Saint-Jacques/221;221 rue Saint-Jacques;75005;4.0;;Voirie;48.844176, 2.342026
Paris;;75105-20;Paris/Monge/99;99 Rue Monge;75005;4.0;1;Voirie;48.841024, 2.352043
Boulogne-Billancourt;1.0;92012-13;Boulogne-Billancourt/Gallieni/114;114 rue Gallieni;92100;6.0;;Voirie;48.836777, 2.23939
Boulogne-Billancourt;;92012-34;Boulogne-Billancourt/Meudon/40;40 rue de Meudon;92100;6.0;;Voirie;48.828103, 2.242185
Châtillon;;92020-04;Châtillon/Paris/21;21 avenue de Paris;92320;6.0;;Voirie;48.804897, 2.289826
Châtillon;;92020-08;Châtillon/Verdun/76;76 avenue de Verdun;92320;6.0;;Voirie;48.800051, 2.282007
Chaville;;92022-04;Chaville/Roger Salengro/705;705 Avenue Roger Salengro;92370;6.0;;Voirie;48.814694, 2.19341
Clamart;;92023-01;Clamart/Victor Hugo/40;40 Avenue Victor Hugo;92140;7.0;;Voirie;48.804171, 2.267385
Colombes;;92025-14;Colombes/Charles de Gaulle/156;156 Boulevard Charles de Gaulle;92700;6.0;;Voirie;48.915459, 2.228102
Colombes;;92025-16;Colombes/Victor Hugo/42;42 Rue Victor Hugo;92700;6.0;;Voirie;48.920927, 2.263615
Colombes;;92025-17;Colombes/Valmy/160;160 Boulevard de Valmy;92700;7.0;;Voirie;48.936064, 2.257222
Colombes;;92025-18;Colombes/Parc Lagravère/1;1 allée Parc Lagravère;92700;7.0;;Voirie;48.927415, 2.233372
Courbevoie;1.0;92026-15;Courbevoie/Hérold/6;6 Place Hérold;92400;5.0;1;Voirie;48.896866, 2.255888
Fontenay-aux-Roses;1.0;92032-01;Fontenay-aux-Roses/Jean Jaurès/3;3 rue Jean Jaurès;92260;4.0;;Voirie;48.790724, 2.287241
La Garenne-Colombes;;92035-04;La Garenne-Colombes/Colombes/126;126 rue de Colombes;92250;7.0;;Voirie;48.907734, 2.247258
La Garenne-Colombes;;92035-06;La Garenne-Colombes/Verdun/41;41 avenue de Verdun;92250;6.0;;Voirie;48.903954, 2.231273
Gennevilliers;1.0;92036-07;Gennevilliers/Gabriel Péri/169;169 avenue Gabriel Péri;92230;6.0;;Voirie;48.924238, 2.294301
Gennevilliers;;92036-11;Gennevilliers/Grésillons/215;215 Avenue des Grésillons;92230;6.0;;Voirie;48.915929, 2.303885
Issy-les-Moulineaux;1.0;92040-03;Issy-les-Moulineaux/Leclerc/46;46 Rue du Général Leclerc;92130;6.0;;Voirie;48.825319, 2.276199
Issy-les-Moulineaux;;92040-08;Issy-les-Moulineaux/Îles/21;21 Boulevard des Îles;92130;6.0;;Voirie;48.827775, 2.271324
Issy-les-Moulineaux;;92040-14;Issy-les-Moulineaux/Joseph Frantz/46;46 Rue Joseph Frantz;92130;6.0;;Voirie;
Issy-les-Moulineaux;;92040-16;Issy-les-Moulineaux/René Jacques/1;1 Rue René Jacques;92130;4.0;1;Voirie;48.82375, 2.261799
Malakoff;;92046-01;Malakoff/Wilson/2;2 avenue du Président Wilson;92240;6.0;;Voirie;48.820516, 2.301902
Nanterre;;92050-01;Nanterre/Pesaro/2;2 boulevard Pesaro;92000;7.0;;Voirie;48.894511, 2.224918
Nanterre;;92050-10;Nanterre/8 mai 1945/109;109 Rue du 8 mai 1945;92000;6.0;;Voirie;48.892624, 2.206274
